行政區代碼,縣市,鄉鎮市區,109年底人口,114年底人口,近5年人口成長率_百分比,統計基準人口_11506,遷入人數_近12月,遷出人數_近12月,淨遷入人數_近12月,淨遷入率_千分比,出生數_近12月,死亡數_近12月,粗出生率_千分比,粗死亡率_千分比,自然增加率_千分比
10007020,彰化縣,鹿港鎮,86550,82212,-5.01,81758,1564,2186,-622,-7.61,419,698,5.12,8.54,-3.41
10007030,彰化縣,和美鎮,90095,86635,-3.84,86144,1868,2411,-543,-6.3,430,660,4.99,7.66,-2.67
10007040,彰化縣,線西鄉,16665,16014,-3.91,16001,398,416,-18,-1.12,93,149,5.81,9.31,-3.5
10007050,彰化縣,伸港鄉,37740,38146,1.08,37933,690,1022,-332,-8.75,286,289,7.54,7.62,-0.08
10007060,彰化縣,福興鄉,46399,44284,-4.56,44010,968,1309,-341,-7.75,244,413,5.54,9.38,-3.84
10007070,彰化縣,秀水鄉,38872,37356,-3.9,37139,796,1091,-295,-7.94,198,282,5.33,7.59,-2.26
10007080,彰化縣,花壇鄉,45232,42816,-5.34,43005,1363,1134,229,5.32,188,388,4.37,9.02,-4.65
10007090,彰化縣,芬園鄉,23188,21334,-8.0,21198,577,762,-185,-8.73,116,245,5.47,11.56,-6.09
10007100,彰化縣,員林市,124263,122148,-1.7,121690,3292,3750,-458,-3.76,598,973,4.91,8.0,-3.08
10007110,彰化縣,溪湖鎮,54814,52832,-3.62,52613,1268,1526,-258,-4.9,319,465,6.06,8.84,-2.77
10007120,彰化縣,田中鎮,40717,38273,-6.0,38062,911,1170,-259,-6.8,171,416,4.49,10.93,-6.44
10007130,彰化縣,大村鄉,38457,38919,1.2,38574,1010,1430,-420,-10.89,214,335,5.55,8.68,-3.14
10007140,彰化縣,埔鹽鄉,31919,30041,-5.88,29869,618,911,-293,-9.81,163,342,5.46,11.45,-5.99
10007150,彰化縣,埔心鄉,34451,33082,-3.97,32946,958,1043,-85,-2.58,129,329,3.92,9.99,-6.07
10007160,彰化縣,永靖鄉,36300,34177,-5.85,34053,783,939,-156,-4.58,140,317,4.11,9.31,-5.2
10007170,彰化縣,社頭鄉,42436,40272,-5.1,40125,902,1064,-162,-4.04,211,365,5.26,9.1,-3.84
10007180,彰化縣,二水鄉,14642,13220,-9.71,13102,271,375,-104,-7.94,48,199,3.66,15.19,-11.52
10007190,彰化縣,北斗鎮,33358,33099,-0.78,32931,873,1083,-210,-6.38,192,319,5.83,9.69,-3.86
10007200,彰化縣,二林鎮,49687,46419,-6.58,46080,1306,1734,-428,-9.29,219,528,4.75,11.46,-6.71
10007210,彰化縣,田尾鄉,26691,25251,-5.4,25015,565,749,-184,-7.36,105,300,4.2,11.99,-7.8
10007220,彰化縣,埤頭鄉,30072,27997,-6.9,27742,565,862,-297,-10.71,140,277,5.05,9.98,-4.94
10007230,彰化縣,芳苑鄉,32720,29880,-8.68,29651,717,864,-147,-4.96,118,429,3.98,14.47,-10.49
10007240,彰化縣,大城鄉,16119,14146,-12.24,14039,333,409,-76,-5.41,61,245,4.35,17.45,-13.11
10007250,彰化縣,竹塘鄉,14808,13918,-6.01,13887,505,490,15,1.08,52,152,3.74,10.95,-7.2
10007260,彰化縣,溪州鄉,29158,27248,-6.55,26994,593,802,-209,-7.74,130,343,4.82,12.71,-7.89
10008010,南投縣,南投市,99081,96229,-2.88,95723,2708,3402,-694,-7.25,403,854,4.21,8.92,-4.71
10008020,南投縣,埔里鎮,79191,75613,-4.52,75761,2389,2195,194,2.56,287,817,3.79,10.78,-7.0
10008030,南投縣,草屯鎮,97489,97724,0.24,98148,3640,2445,1195,12.18,528,856,5.38,8.72,-3.34
10008040,南投縣,竹山鎮,53464,49905,-6.66,49633,1206,1374,-168,-3.38,135,614,2.72,12.37,-9.65
10008050,南投縣,集集鎮,10461,9882,-5.53,10375,1191,340,851,82.02,35,155,3.37,14.94,-11.57
10008060,南投縣,名間鄉,37507,34557,-7.87,34226,777,1114,-337,-9.85,107,439,3.13,12.83,-9.7
10008070,南投縣,鹿谷鄉,17231,15454,-10.31,15358,441,496,-55,-3.58,55,220,3.58,14.32,-10.74
10008080,南投縣,中寮鄉,14301,12825,-10.32,12744,426,472,-46,-3.61,29,205,2.28,16.09,-13.81
10008090,南投縣,魚池鄉,15466,14098,-8.85,13998,431,455,-24,-1.71,44,213,3.14,15.22,-12.07
10008100,南投縣,國姓鄉,17965,15963,-11.14,15794,359,512,-153,-9.69,31,269,1.96,17.03,-15.07
10008110,南投縣,水里鄉,16980,15452,-9.0,15316,455,606,-151,-9.86,40,218,2.61,14.23,-11.62
10008120,南投縣,信義鄉,15878,14886,-6.25,14806,408,522,-114,-7.7,110,183,7.43,12.36,-4.93
10008130,南投縣,仁愛鄉,15818,15293,-3.32,15200,728,737,-9,-0.59,104,165,6.84,10.86,-4.01
