公司,通訊處名稱,地址,縣市,鄉鎮市區,設立日期,比對方式,信心度
凱基人壽保險股份有限公司,駿鋮,台北市松山區敦化北路122號9樓,臺北市,松山區,2017-01-02,explicit,1.0
凱基人壽保險股份有限公司,崧峰,台北市松山區敦化北路122號9樓,臺北市,松山區,2017-08-26,explicit,1.0
凱基人壽保險股份有限公司,毅品,台北市館前路43號5樓,臺北市,中正區,2018-02-04,road_lookup,0.9
凱基人壽保險股份有限公司,北一直轄一,台北市忠孝東路四段550號13樓,臺北市,信義區,2018-02-11,road_lookup_scope,0.85
凱基人壽保險股份有限公司,北二直轄一,台北市館前路43號4樓,臺北市,中正區,2019-08-15,road_lookup,0.9
凱基人壽保險股份有限公司,展毓,台北市松山區敦化北路122號4樓,臺北市,松山區,2020-02-10,explicit,1.0
凱基人壽保險股份有限公司,雙贏,台北市松山區敦化北路122號4樓,臺北市,松山區,2021-12-28,explicit,1.0
凱基人壽保險股份有限公司,恩典,台北市中正區衡陽路51號14樓,臺北市,中正區,2022-02-25,explicit,1.0
凱基人壽保險股份有限公司,昊陽,台北市松山區敦化北路122號9樓,臺北市,松山區,2022-03-28,explicit,1.0
凱基人壽保險股份有限公司,众山,台北市松山區敦化北路122號4樓,臺北市,松山區,2022-04-28,explicit,1.0
凱基人壽保險股份有限公司,駿廷,台北市博愛路35號11樓,臺北市,中正區,2023-02-02,road_lookup,0.9
凱基人壽保險股份有限公司,仁愛,台北市忠孝東路四段550號10樓,臺北市,信義區,2001-07-13,road_lookup_scope,0.85
凱基人壽保險股份有限公司,汎德,台北市館前路43號10樓,臺北市,中正區,2000-10-05,road_lookup,0.9
凱基人壽保險股份有限公司,民生,台北市松山區敦化北路122號11樓,臺北市,松山區,1994-10-13,explicit,1.0
凱基人壽保險股份有限公司,忠信,台北市館前路43號6樓,臺北市,中正區,1994-06-03,road_lookup,0.9
凱基人壽保險股份有限公司,北一直轄三,台北市松山區敦化北路122號11樓,臺北市,松山區,2024-02-29,explicit,1.0
凱基人壽保險股份有限公司,凌山,台北市館前路43號5樓,臺北市,中正區,2008-03-26,road_lookup,0.9
凱基人壽保險股份有限公司,慶昇,宜蘭縣羅東鎮中正北路50號2樓,宜蘭縣,羅東鎮,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,奇異,花蓮市明心街1-16號5樓,花蓮縣,花蓮市,2011-01-28,implicit_city,0.8
凱基人壽保險股份有限公司,金彥,花蓮市明心街1-16號5樓,花蓮縣,花蓮市,2011-02-25,implicit_city,0.8
凱基人壽保險股份有限公司,巨朋,桃園市桃園區經國一路73號7樓,桃園市,桃園區,1997-06-21,explicit,1.0
凱基人壽保險股份有限公司,上千,桃園市桃園區經國一路67號5樓,桃園市,桃園區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,瑞峰,桃園市桃園區經國一路73號5樓,桃園市,桃園區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,桃園直轄,桃園市桃園區經國一路71號5樓,桃園市,桃園區,2024-02-29,explicit,1.0
凱基人壽保險股份有限公司,金躍,桃園市桃園區經國一路65號7樓,桃園市,桃園區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,瑞興,桃園市桃園區經國一路73號12樓,桃園市,桃園區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,皇城,桃園市桃園區經國一路67號12樓,桃園市,桃園區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,金峰,桃園市桃園區經國一路71號5樓,桃園市,桃園區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,躍昇,桃園市桃園區經國一路67號7樓,桃園市,桃園區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,虹燁,桃園市桃園區經國一路65號12樓,桃園市,桃園區,2018-03-18,explicit,1.0
凱基人壽保險股份有限公司,瑞至,桃園市桃園區經國一路71號12樓,桃園市,桃園區,2020-05-31,explicit,1.0
凱基人壽保險股份有限公司,昌羿,新竹市光復路二段285號16樓,新竹市,東區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,大昇,新竹市光復路二段289號10樓之1,新竹市,東區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,新竹直轄,新竹市光復路二段289號10樓之2,新竹市,東區,2019-08-15,road_lookup,0.9
凱基人壽保險股份有限公司,北大,新竹市光復路二段289號10樓之2,新竹市,東區,2007-10-16,road_lookup,0.9
凱基人壽保險股份有限公司,亞威,新竹市公道五路二段158號7樓之5,新竹市,東區,2003-03-23,road_lookup,0.9
凱基人壽保險股份有限公司,孔明,新竹市光復路二段287號10樓之2,新竹市,東區,2011-04-08,road_lookup,0.9
凱基人壽保險股份有限公司,昊浱,新竹縣竹北市嘉豐十一路一段100號5樓之3,新竹縣,竹北市,2024-03-19,explicit,1.0
凱基人壽保險股份有限公司,建國,台中市西區五權路2-107號5樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,棠山,台中市西區五權路2-106號4樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,福鵬直轄,台中市西區五權路2-106號6樓,臺中市,西區,2024-04-01,explicit,1.0
凱基人壽保險股份有限公司,明冠,台中市西區五權路2-107號6樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,凱旋,台中市西區五權路2-107號6樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,大銘,台中市西區五權路2-106號13樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,群富,台中市西區五權路2-106號10樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,聖達,台中市西區五權路2-107號9樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,菁業,台中市西區五權路2-107號10樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,威任,台中市西區五權路2-106號7樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,日兆,台中市西區五權路2-106號4樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,嘉銓,台中市西區五權路2-106號12樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,俞傑,台中市西區五權路2-107號13樓,臺中市,西區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,詠續,台中市西區五權路2-107號7樓,臺中市,西區,2018-06-11,explicit,1.0
凱基人壽保險股份有限公司,富山,台中市西區五權路2-106號10樓,臺中市,西區,2022-05-27,explicit,1.0
凱基人壽保險股份有限公司,禾順,台中市西區五權路2-107號4樓,臺中市,西區,2001-07-13,explicit,1.0
凱基人壽保險股份有限公司,奕震,台中市西區五權路2-107號9樓,臺中市,西區,1997-06-21,explicit,1.0
凱基人壽保險股份有限公司,太陽,台中市西區五權路2-107號12樓,臺中市,西區,2008-03-26,explicit,1.0
凱基人壽保險股份有限公司,大華,彰化縣員林市浮圳路二段433號2樓,彰化縣,員林市,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,雲林直轄,雲林縣斗六市雲林路二段203號7樓,雲林縣,斗六市,2024-03-29,explicit,1.0
凱基人壽保險股份有限公司,上慶,雲林縣斗六市雲林路二段203號10樓,雲林縣,斗六市,2025-11-14,explicit,1.0
凱基人壽保險股份有限公司,嘉義,嘉義市民生北路241號7樓,嘉義市,西區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,保富,嘉義市延平街448號9樓之3,嘉義市,西區,2009-06-20,road_lookup_scope,0.85
凱基人壽保險股份有限公司,金揚,嘉義市民生北路241號8樓,嘉義市,西區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,嘉誠,嘉義市世賢路一段791號11樓之2、3,嘉義市,西區,2009-06-20,road_lookup_scope,0.85
凱基人壽保險股份有限公司,金冠,台南市民生路二段279號9樓,臺南市,中西區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,金美,台南市民生路二段279號8樓,臺南市,中西區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,金豪,台南市民生路二段279號9樓,臺南市,中西區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,金英,台南市西門路三段159號5樓,臺南市,北區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,金達,台南市民生路二段279號9樓,臺南市,中西區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,慶亞,台南市永康區中華路1之105號16樓,臺南市,永康區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,菁英,台南市西門路三段159號5樓,臺南市,北區,2021-04-26,road_lookup,0.9
凱基人壽保險股份有限公司,台南,台南市西門路二段351號11樓,臺南市,中西區,1994-10-13,road_lookup,0.9
凱基人壽保險股份有限公司,松慶,台南市永康區中華路1之4號5樓,臺南市,永康區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,今誠,台南市永康區中華路1之3號4樓,臺南市,永康區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,樺慶,台南市永康區中華路1之4號5樓,臺南市,永康區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,南英,台南市永康區中華路1之121號18樓,臺南市,永康區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,立富,台南市永康區中華路1之121號18樓,臺南市,永康區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,冠英,台南市永康區中華路1之3號4樓,臺南市,永康區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,廣慶,台南市西門路二段351號11樓,臺南市,中西區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,立捷,台南市永康區中華路1之104號16樓,臺南市,永康區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,一心,高雄市鼓山區明誠四路156號11樓之1,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,崇慶,高雄市鼓山區明誠四路156號10樓之1,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,冠慶,高雄市鼓山區明誠四路156號9樓之1,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,力慶,高雄市鼓山區明誠四路156號11樓之1,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,七賢,高雄市四維四路10號11樓之1,高雄市,苓雅區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,德山,高雄市鼓山區明誠四路156號6樓之1,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,至慶,高雄市鼓山區明誠四路156號7樓,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,灞霖,高雄市鼓山區明誠四路156號6樓,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,國慶,高雄市鼓山區明誠四路156號5樓,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,翔大,高雄市鼓山區明誠四路156號5樓,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,順誠,高雄市鼓山區明誠四路156號8樓,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,三多,高雄市鼓山區明誠四路156號10樓,高雄市,鼓山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,尚誠,高雄市鼓山區明誠四路156號8樓之1,高雄市,鼓山區,2010-03-23,explicit,1.0
凱基人壽保險股份有限公司,宏慶,高雄市鼓山區明誠四路156號7樓之1,高雄市,鼓山區,2014-08-29,explicit,1.0
凱基人壽保險股份有限公司,高雄直轄一,高雄市鼓山區明誠四路156號9樓,高雄市,鼓山區,2018-03-18,explicit,1.0
凱基人壽保險股份有限公司,高宏,高雄市鼓山區明誠四路156號8樓,高雄市,鼓山區,2001-07-13,explicit,1.0
凱基人壽保險股份有限公司,彩榮,高雄市鼓山區明誠四路156號6樓之1,高雄市,鼓山區,2004-07-30,explicit,1.0
凱基人壽保險股份有限公司,信誠,屏東市中正路70號2樓,屏東縣,屏東市,2009-06-20,implicit_city,0.8
凱基人壽保險股份有限公司,佳慶,屏東市中正路70號3樓,屏東縣,屏東市,2009-06-20,implicit_city,0.8
凱基人壽保險股份有限公司,韋誠,屏東市中正路70號2樓,屏東縣,屏東市,2014-08-29,implicit_city,0.8
凱基人壽保險股份有限公司,睿誠,屏東市中正路70號3樓,屏東縣,屏東市,2015-03-25,implicit_city,0.8
凱基人壽保險股份有限公司,泰誠,屏東市中正路70號2樓,屏東縣,屏東市,2023-08-31,implicit_city,0.8
凱基人壽保險股份有限公司,台東,台東市開封街370號,臺東縣,臺東市,1978-12-05,implicit_city,0.8
凱基人壽保險股份有限公司,澎湖,澎湖縣馬公市中正路17號,澎湖縣,馬公市,2026-04-02,explicit,1.0
凱基人壽保險股份有限公司,樂誠,屏東市中正路70號2樓,屏東縣,屏東市,2026-06-24,implicit_city,0.8
南山人壽保險股份有限公司,東澂,台東縣台東市四維路三段62號1樓,臺東縣,臺東市,1978-12-05,explicit,1.0
南山人壽保險股份有限公司,中壢元化,桃園市中壢區中央東路88號8樓之2,桃園市,中壢區,1980-04-05,explicit,1.0
南山人壽保險股份有限公司,鑫城中,台北市中山區松江路266號5樓,臺北市,中山區,1981-08-06,explicit,1.0
南山人壽保險股份有限公司,沙鹿直轄,台中市沙鹿區沙田路131號6樓,臺中市,沙鹿區,1984-07-05,explicit,1.0
南山人壽保險股份有限公司,前金,高雄市三民區建國一路458號7樓,高雄市,三民區,1988-03-15,explicit,1.0
南山人壽保險股份有限公司,鑫嘉,台北市中山區松江路375號11樓之1,臺北市,中山區,1988-07-26,explicit,1.0
南山人壽保險股份有限公司,三德,台北市中正區忠孝西路一段4號5樓A室,臺北市,中正區,1989-09-21,explicit,1.0
南山人壽保險股份有限公司,崇德,台中市北屯區北屯路360號4樓,臺中市,北屯區,1990-09-03,explicit,1.0
南山人壽保險股份有限公司,台南府城,台南市北區育德路188號10樓之2,臺南市,北區,1991-10-14,explicit,1.0
南山人壽保險股份有限公司,文心,台中市西屯區華美西街二段311號6樓,臺中市,西屯區,1992-06-26,explicit,1.0
南山人壽保險股份有限公司,中進,台中市北屯區北屯路360號13樓,臺中市,北屯區,1992-06-26,explicit,1.0
南山人壽保險股份有限公司,九如,高雄市左營區裕誠路392號5樓,高雄市,左營區,1992-06-26,explicit,1.0
南山人壽保險股份有限公司,保生,新北市中和區中和路356號4樓,新北市,中和區,1993-08-20,explicit,1.0
南山人壽保險股份有限公司,南投直轄,南投縣草屯鎮中正路601之7號4樓,南投縣,草屯鎮,1993-08-20,explicit,1.0
南山人壽保險股份有限公司,員林永盛,彰化縣員林市中山路二段100號7樓,彰化縣,員林市,1993-08-20,explicit,1.0
南山人壽保險股份有限公司,斗六,雲林縣斗六市中山路82號4樓,雲林縣,斗六市,1993-08-20,explicit,1.0
南山人壽保險股份有限公司,鑫躍,台北市中正區忠孝西路一段4號18樓C室,臺北市,中正區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,鴻鑫,台北市大安區基隆路二段172之1號7樓,臺北市,大安區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,安和,台北市大安區基隆路二段172之1號9樓,臺北市,大安區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,成功,台北市大安區敦化南路二段92號10樓之2及11樓之1,臺北市,大安區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,隆鑫,台北市大安區信義路四段296號9樓及306號9樓,臺北市,大安區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,信盛,台北市信義區基隆路二段125號12樓之2,臺北市,信義區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,圓山,台北市文山區羅斯福路六段136號8樓及6樓之1,臺北市,文山區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,鑫旺,台北市中山區松江路266號7樓,臺北市,中山區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,長新,台北市松山區八德路四段83號6樓,臺北市,松山區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,板橋忠孝,新北市板橋區中山路一段6號8樓及9樓,新北市,板橋區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,新莊,新北市板橋區華江一路111號5樓之6,新北市,板橋區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,三民,台中市西區忠明南路270號19樓,臺中市,西區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,中港,台中市南屯區五權西路二段668號3樓,臺中市,南屯區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,統健,台中市南屯區五權西路二段668號2樓,臺中市,南屯區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,干川,台中市東區公園東路130號9樓之1,臺中市,東區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,雙十,台中市東區公園東路130號8樓之1,臺中市,東區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,永暉,台中市東區公園東路130號10樓之3,臺中市,東區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,五權,台中市東區公園東路130號10樓之2,臺中市,東區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,順全,台中市東區公園東路130號11樓之2,臺中市,東區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,大甲,台中市大甲區文武路10之3號4樓,臺中市,大甲區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,台南二處,台南市北區育德路188號11樓之2及之3,臺南市,北區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,林森,嘉義市東區忠孝路419號3樓、6樓,嘉義市,東區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,億隆,桃園市桃園區青溪二路92號18樓及90號17樓,桃園市,桃園區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,鑫蓮,花蓮縣花蓮市中山路356號4樓,花蓮縣,花蓮市,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,高雄直轄一處,高雄市三民區建國一路458號5樓,高雄市,三民區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,高雄直轄二處,高雄市左營區裕誠路392號13樓,高雄市,左營區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,欣生,高雄市三民區建國一路458號9樓,高雄市,三民區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,一心,高雄市三民區建國一路458號5樓,高雄市,三民區,1994-09-06,explicit,1.0
南山人壽保險股份有限公司,鑫勁德,台北市大同區南京西路66號3樓,臺北市,大同區,1994-10-04,explicit,1.0
南山人壽保險股份有限公司,羅東純精,宜蘭縣宜蘭市女中路二段88號2樓B室,宜蘭縣,宜蘭市,1994-10-04,explicit,1.0
南山人壽保險股份有限公司,羅東興東,宜蘭縣宜蘭市女中路二段88號2樓A室,宜蘭縣,宜蘭市,1994-10-04,explicit,1.0
南山人壽保險股份有限公司,鑫大發,台北市大同區民權西路104號11樓,臺北市,大同區,1994-12-19,explicit,1.0
南山人壽保險股份有限公司,鑫進,台北市中正區忠孝西路一段4號18樓B室,臺北市,中正區,1994-12-19,explicit,1.0
南山人壽保險股份有限公司,鑫和,台北市中山區松江路220號11樓之2,臺北市,中山區,1994-12-19,explicit,1.0
南山人壽保險股份有限公司,雙和,新北市板橋區中山路一段6號9樓,新北市,板橋區,1994-12-19,explicit,1.0
南山人壽保險股份有限公司,大揚,台中市東區公園東路130號12樓之2,臺中市,東區,1994-12-19,explicit,1.0
南山人壽保險股份有限公司,嘉義一處,嘉義市東區忠孝路419號5樓,嘉義市,東區,1994-12-19,explicit,1.0
南山人壽保險股份有限公司,嘉義三處,嘉義市東區忠孝路419號6樓,嘉義市,東區,1994-12-19,explicit,1.0
南山人壽保險股份有限公司,員林雙華,彰化縣員林市中山路二段100號9樓,彰化縣,員林市,1994-12-19,explicit,1.0
南山人壽保險股份有限公司,博愛,高雄市新興區中正三路38號4樓,高雄市,新興區,1994-12-19,explicit,1.0
南山人壽保險股份有限公司,元寶,桃園市中壢區中央東路88號19樓之2,桃園市,中壢區,1995-02-01,explicit,1.0
南山人壽保險股份有限公司,鑫生,台北市中正區忠孝西路一段4號5樓C室,臺北市,中正區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,仁愛,台北市大安區敦化南路二段92號11樓及11樓之1,臺北市,大安區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,鑫成,台北市中山區松江路375號9樓,臺北市,中山區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,八德一處,台北市中山區復興北路150號4樓及6樓,臺北市,中山區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,佳德,台北市松山區八德路四段83號5樓B室及6樓,臺北市,松山區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,德鑫,台北市松山區南京東路五段16號2樓,臺北市,松山區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,大墩,台中市東區公園東路130號6樓之2,臺中市,東區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,新營嘉豐,台南市新營區中正路10號4樓,臺南市,新營區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,新營新森,台南市新營區中正路10號4樓,臺南市,新營區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,鑫基隆,基隆市信義區信一路150號9樓B室,基隆市,信義區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,新竹直轄,新竹市北區東大路二段110號2樓之3,新竹市,北區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,中壢直轄,桃園市平鎮區環南路18號2樓,桃園市,平鎮區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,桃園直轄,桃園市桃園區青溪二路92號15樓及16樓,桃園市,桃園區,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,苗栗直轄,苗栗縣苗栗市中山路538號3樓,苗栗縣,苗栗市,1995-02-10,explicit,1.0
南山人壽保險股份有限公司,聯興,台中市北區忠明路200號8樓,臺中市,北區,1995-03-31,explicit,1.0
南山人壽保險股份有限公司,華興,基隆市信義區信一路150號10樓B室,基隆市,信義區,1995-03-31,explicit,1.0
南山人壽保險股份有限公司,維新,桃園市中壢區中央東路88號8樓之1,桃園市,中壢區,1995-03-31,explicit,1.0
南山人壽保險股份有限公司,景新,台北市文山區羅斯福路六段136號5樓及8樓,臺北市,文山區,1995-07-04,explicit,1.0
南山人壽保險股份有限公司,勝德,台北市中山區松江路375號2樓A室,臺北市,中山區,1995-07-04,explicit,1.0
南山人壽保險股份有限公司,雙興,台北市中山區松江路375號8樓,臺北市,中山區,1995-07-04,explicit,1.0
南山人壽保險股份有限公司,中壢欣明,桃園市中壢區中央東路88號4樓之5,桃園市,中壢區,1995-07-04,explicit,1.0
南山人壽保險股份有限公司,旭成,高雄市三民區建國一路458號8樓,高雄市,三民區,1995-09-07,explicit,1.0
南山人壽保險股份有限公司,鑫永,台北市松山區復興北路369號5樓,臺北市,松山區,1996-05-01,explicit,1.0
南山人壽保險股份有限公司,板橋直轄,新北市板橋區華江一路111號4樓之3,新北市,板橋區,1996-05-01,explicit,1.0
南山人壽保險股份有限公司,重信,台北市中正區忠孝西路一段4號4樓之5,臺北市,中正區,1996-06-25,explicit,1.0
南山人壽保險股份有限公司,聯強,新北市三重區重陽路三段192號12樓B室及192號11樓,新北市,三重區,1996-10-08,explicit,1.0
南山人壽保險股份有限公司,光順,台中市南屯區五權西路二段100號6樓,臺中市,南屯區,1996-10-08,explicit,1.0
南山人壽保險股份有限公司,崇聖,台中市北屯區北屯路360號11樓,臺中市,北屯區,1996-10-08,explicit,1.0
南山人壽保險股份有限公司,屏東直轄,屏東縣屏東市棒球路57之5號6樓,屏東縣,屏東市,1996-10-08,explicit,1.0
南山人壽保險股份有限公司,群耀,台北市信義區基隆路二段125號15樓,臺北市,信義區,1996-12-31,explicit,1.0
南山人壽保險股份有限公司,正隆,台北市信義區基隆路二段125號3樓之3,臺北市,信義區,1996-12-31,explicit,1.0
南山人壽保險股份有限公司,平鎮,桃園市平鎮區環南路50號6樓及5樓,桃園市,平鎮區,1996-12-31,explicit,1.0
南山人壽保險股份有限公司,宏廣,桃園市平鎮區環南路50號2樓及5樓,桃園市,平鎮區,1997-04-15,explicit,1.0
